T	NOAA NCDC DAILY FSOD AWND
julian_day	mph
   5.9611237E-41	    13.70000    
   5.9612638E-41	    10.70000    
   5.9614039E-41	    7.000000    
   5.9615441E-41	    7.500000    
   5.9616842E-41	    8.700000    
   5.9618243E-41	    9.200000    
   5.9619644E-41	    6.200000    
   5.9621046E-41	    8.800000    
   5.9622447E-41	    6.700000    
   5.9623848E-41	    5.400000    
   5.9625250E-41	    5.800000    
   5.9626651E-41	    6.600000    
   5.9628052E-41	    9.600000    
   5.9629454E-41	    5.700000    
   5.9630855E-41	    7.900000    
   5.9632256E-41	    5.800000    
   5.9633657E-41	    5.900000    
   5.9635059E-41	    6.100000    
   5.9636460E-41	    8.200000    
   5.9637861E-41	   10.000000    
   5.9639263E-41	    10.50000    
   5.9640664E-41	    10.70000    
   5.9642065E-41	    8.800000    
   5.9643467E-41	    7.900000    
   5.9644868E-41	    7.400000    
   5.9646269E-41	    7.800000    
   5.9647670E-41	    7.000000    
   5.9649072E-41	    5.900000    
   5.9650473E-41	    6.800000    
   5.9651874E-41	    6.200000    
   5.9653276E-41	    8.800000    
   5.9654677E-41	    8.400001    
   5.9656078E-41	    8.800000    
   5.9657480E-41	    7.700000    
   5.9658881E-41	    7.900000    
   5.9660282E-41	    7.300000    
   5.9661683E-41	    6.800000    
   5.9663085E-41	    5.800000    
   5.9664486E-41	    7.200000    
   5.9665887E-41	    6.300000    
   5.9667289E-41	    7.300000    
   5.9668690E-41	    5.800000    
   5.9670091E-41	    8.700000    
   5.9671493E-41	    8.900001    
   5.9672894E-41	    6.100000    
   5.9674295E-41	    6.500000    
   5.9675696E-41	    8.100000    
   5.9677098E-41	    9.800000    
   5.9678499E-41	    6.400000    
   5.9679900E-41	    8.200000    
   5.9681302E-41	    5.100000    
   5.9682703E-41	    5.600000    
   5.9684104E-41	    5.800000    
   5.9685505E-41	    5.800000    
   5.9686907E-41	    6.400000    
   5.9688308E-41	    9.700000    
   5.9689709E-41	    6.700000    
   5.9691111E-41	    6.800000    
   5.9692512E-41	    7.600000    
   5.9693913E-41	    6.200000    
   5.9695315E-41	    6.500000    
   5.9696716E-41	    4.900000    
   5.9698117E-41	    3.600000    
   5.9699518E-41	    3.800000    
   5.9700920E-41	    5.900000    
   5.9702321E-41	    6.200000    
   5.9703722E-41	    7.400000    
   5.9705124E-41	    7.100000    
   5.9706525E-41	    6.200000    
   5.9707926E-41	    7.600000    
   5.9709328E-41	    6.600000    
   5.9710729E-41	    5.700000    
   5.9712130E-41	    7.000000    
   5.9713531E-41	    5.900000    
   5.9714933E-41	    6.100000    
   5.9716334E-41	    10.80000    
   5.9717735E-41	    7.500000    
   5.9719137E-41	    6.900000    
   5.9720538E-41	    5.700000    
   5.9721939E-41	    4.800000    
   5.9723341E-41	    7.400000    
   5.9724742E-41	    6.800000    
   5.9726143E-41	    10.10000    
   5.9727544E-41	    8.900001    
   5.9728946E-41	    6.400000    
   5.9730347E-41	    4.700000    
   5.9731748E-41	    6.900000    
   5.9733150E-41	    6.700000    
   5.9734551E-41	    5.100000    
   5.9735952E-41	    4.700000    
   5.9737354E-41	    5.000000    
   5.9738755E-41	    6.300000    
   5.9740156E-41	    7.500000    
   5.9741557E-41	    4.400000    
   5.9742959E-41	    5.300000    
   5.9744360E-41	    8.100000    
   5.9745761E-41	    4.400000    
   5.9747163E-41	    7.700000    
   5.9748564E-41	    16.10000    
   5.9749965E-41	    9.300000    
   5.9751367E-41	    5.800000    
   5.9752768E-41	    4.400000    
   5.9754169E-41	    5.900000    
   5.9755570E-41	    6.000000    
   5.9756972E-41	    7.400000    
   5.9758373E-41	    2.100000    
   5.9759774E-41	    5.000000    
   5.9761176E-41	    6.400000    
   5.9762577E-41	    12.00000    
   5.9763978E-41	    6.000000    
   5.9765380E-41	    4.500000    
   5.9766781E-41	    7.000000    
   5.9768182E-41	    5.300000    
   5.9769583E-41	    4.200000    
   5.9770985E-41	    4.900000    
   5.9772386E-41	    4.400000    
   5.9773787E-41	    6.400000    
   5.9775189E-41	    2.500000    
   5.9776590E-41	    3.900000    
   5.9777991E-41	    9.300000    
   5.9779392E-41	    11.00000    
   5.9780794E-41	    11.70000    
   5.9782195E-41	    15.60000    
   5.9783596E-41	    9.200000    
   5.9784998E-41	    13.20000    
   5.9786399E-41	    7.400000    
   5.9787800E-41	    15.30000    
   5.9789202E-41	    12.60000    
   5.9790603E-41	    4.600000    
   5.9792004E-41	    4.700000    
   5.9793405E-41	    7.700000    
   5.9794807E-41	    7.900000    
   5.9796208E-41	    13.10000    
   5.9797609E-41	    8.900001    
   5.9799011E-41	    7.400000    
   5.9800412E-41	    6.100000    
   5.9801813E-41	    12.90000    
   5.9803215E-41	   10.000000    
   5.9804616E-41	    3.300000    
   5.9806017E-41	    7.000000    
   5.9807418E-41	    11.30000    
   5.9808820E-41	    12.50000    
   5.9810221E-41	    11.10000    
   5.9811622E-41	    10.40000    
   5.9813024E-41	    8.000000    
   5.9814425E-41	    11.10000    
   5.9815826E-41	    12.70000    
   5.9817228E-41	    6.600000    
   5.9818629E-41	    8.000000    
   5.9820030E-41	    3.000000    
   5.9821431E-41	    8.300000    
   5.9822833E-41	    7.100000    
   5.9824234E-41	    9.200000    
   5.9825635E-41	    8.100000    
   5.9827037E-41	    12.30000    
   5.9828438E-41	   10.000000    
   5.9829839E-41	    6.600000    
   5.9831241E-41	    2.100000    
   5.9832642E-41	    10.20000    
   5.9834043E-41	    18.00000    
   5.9835444E-41	    15.50000    
   5.9836846E-41	    16.10000    
   5.9838247E-41	    27.70000    
   5.9839648E-41	    20.50000    
